,name,price1,price2
0,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
1,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
2,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
3,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
4,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
5,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
6,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
7,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
8,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
9,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
10,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
11,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
12,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
13,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
14,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
15,Itel S23 16GB(8+8GB)/256GB,"1,167.00 Dhs","1,167.00 Dhs"
16,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
17,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
18,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
19,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
20,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
21,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
22,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
23,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
24,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
25,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
26,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
27,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
28,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
29,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
30,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
31,Samsung Galaxy A04,"1,169.00 Dhs","1,169.00 Dhs"
32,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
33,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
34,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
35,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
36,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
37,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
38,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
39,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
40,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
41,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
42,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
43,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
44,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
45,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
46,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
47,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
48,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
49,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
50,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
51,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
52,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
53,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
54,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
55,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
56,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
